the,1
is,29
you,11
it,23
oh,3
a,25
that,19
this,16
what,21
do,10
to,13
and,169
can,48
look,17
yes,182
like,238
one,252
i,720
not,116
on,74
here,211
are,230
we,161
dodi,554
wawa,550
there,73
of,193
want,12
in,18
no,20
babyname,425
tema,539
with,15
zeebee,555
see,41
at,210
okay,35
vocplayx,2712
put,59
going,293
have,140
langplayx,2714
go,27
does,22
your,75
habble,701
speechx,2711
mobit,549
think,217
mapoo,700
good,177
blicket,551
blue,407
got,5
play,14
so,218
green,302
where,158
let,352
about,56
spin,342
he,31
looks,374
up,50
say,83
has,143
me,344
us,353
kind,232
uh,290
did,320
know,178
right,121
they,26
top,205
wow,367
get,91
car,1294
how,248
all,203
will,331
foreignx,3178
make,38
down,53
these,39
for,236
them,289
soundx,354
hey,165
job,206
color,493
over,364
thank,67
again,347
back,60
red,402
duck,945
little,294
now,310
two,552
lemon,967
or,57
just,274
then,199
mango,4211
yeah,34
out,187
try,268
my,363
she,226
too,265
haha,256
mommy,142
pink,832
but,212
shake,2757
some,109
huh,55
umm,451
pot,2485
am,80
cup,716
remember,279
which,262
stack,288
hat,235
toy,220
if,377
be,488
come,463
boat,1362
roll,340
drop,682
eat,264
should,358
croc,3871
I,81
moose,3932
alright,387
hold,579
gasser,359
could,337
three,553
more,241
an,254
koala,3867
baby,634
kaki,349
called,495
goes,403
very,176
house,836
was,379
teeboo,3206
hozee,3210
seal,3880
take,191
maybe,420
fit,284
kettle,2667
bison,3835
sit,213
him,52
turn,414
hand,338
big,334
give,194
something,276
manu,368
night,2790
elephant,1973
pata,3208
yonka,3205
would,594
bosa,372
quack,2218
heavy,251
racol,3207
block,837
miggle,3204
her,409
really,77
riffy,2783
zoppet,2970
other,299
way,204
mussa,3111
noise,225
vanoo,3118
greebee,2971
leave,111
nimba,2967
paga,3117
those,395
shape,509
yummy,511
touch,515
ball,513
inside,307
doing,522
carkle,2969
dapoh,3113
done,417
off,229
ready,356
else,734
mmm,2870
bye,332
thing,575
hole,2172
water,1263
kookle,2828
oops,266
well,160
pardoe,2968
finger,376
taba,2846
around,285
choochoo,489
train,1078
pretty,542
hello,518
hi,391
apple,271
bozer,3114
cool,437
toys,113
aidee,3116
fell,345
his,538
stay,223
stand,49
who,795
fun,380
plane,2713
feel,249
almost,416
yay,698
nice,306
square,563
candy,622
squishy,577
table,335
new,65
please,138
maylou,2972
watch,647
as,548
because,532
spins,471
makes,756
side,400
another,398
animal,656
mama,516
walk,719
different,269
mouth,599
throw,523
playing,323
daddy,530
hammer,1662
sound,669
together,28
also,531
drink,1855
head,512
silly,246
goodness,525
triangle,857
keep,439
need,184
our,382
turtle,625
bang,311
round,768
favorite,297
comes,477
part,861
funny,321
bit,295
went,578
pour,2245
looking,32
wheel,2104
from,478
first,296
buddy,616
object,964
piece,365
shaped,859
nose,435
find,371
says,707
into,445
open,714
saw,1802
bed,3527
boom,506
home,1123
bunny,1946
why,94
ladybug,3270
squish,1645
cat,1472
bottom,214
cube,844
bug,3189
when,245
fall,608
tower,1076
though,544
move,825
kiss,304
snowman,3529
time,243
name,327
away,313
guy,723
show,494
dog,117
circle,498
boy,764
jump,319
yellow,2103
its,474
bumpy,393
use,462
middle,567
regli,373
loud,771
through,33
were,737
made,389
things,78
drive,772
next,43
flower,2174
build,628
anything,624
lot,208
eye,30
squeeze,2848
friend,1051
hard,753
work,272
much,273
pull,1080
found,569
spinning,959
light,431
ok,301
coming,482
help,766
still,224
sort,510
cannot,355
fly,582
stuck,385
eating,253
bogo,348
rough,564
set,430
nope,286
wait,298
sorry,600
twist,2247
pick,250
might,485
yum,255
upside,330
airplane,1235
horse,1020
honey,1062
push,713
book,278
minute,357
byebye,422
four,1003
alone,135
trying,381
cow,1497
any,617
dance,237
monkey,1995
by,871
heart,891
helmet,3449
truck,2726
soft,986
knock,423
giraffe,3517
ones,66
crash,646
better,675
gentle,536
stick,406
girl,725
careful,630
second,547
love,703
bird,1131
stuff,209
kitty,2932
pretend,469
dropped,683
tell,558
cook,2799
many,1265
making,593
probably,454
before,854
neat,695
seen,853
lion,3515
y,830
same,784
ride,318
best,1065
hit,96
fix,677
food,556
than,261
sure,787
dax,361
taste,597
end,450
wee,341
drum,743
wants,480
tap,1867
last,386
five,1279
helicopter,2109
cut,1035
phone,2786
half,889
crocodile,3821
walking,665
yep,333
gorilla,3514
page,3808
hop,649
rolls,438
yet,200
chair,215
catch,560
rock,894
rake,3528
sides,1004
colat,351
run,2061
toma,360
man,546
supposed,545
smell,2175
rectangle,856
z,1113
tea,2666
feels,644
later,239
robot,823
hide,1052
rabbit,1139
close,1192
wear,234
high,1814
beep,2725
came,369
actually,562
easy,803
guess,561
sing,618
shapes,888
peekaboo,709
bet,412
pig,3784
getting,64
long,730
floor,610
count,1588
bring,2094
both,263
had,1160
left,751
flat,1207
may,605
said,936
bear,2824
interesting,392
fish,966
edges,862
smooth,586
weird,872
pumbi,2311
b,866
spongebob,3507
sleeping,3007
ow,631
camera,228
threw,1069
fingers,442
ear,2036
